date,high,low,open,close,volume,quoteVolume,weightedAverage
1403044500,2e-06,2e-06,2e-06,2e-06,0.0014500000000000001,725.0,2e-06
1403044800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403045100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403045400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403045700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403046000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403046300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403046600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403046900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403047200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403047500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403047800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403048100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403048400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403048700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403049000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403049300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403049600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403049900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403050200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403050500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403050800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403051100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403051400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403051700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403052000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403052300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403052600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.053386199999999995,25422.0,2.1e-06
1403052900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403053200,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403053500,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403053800,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403054100,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403054400,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403054700,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403055000,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403055300,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403055600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403055900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403056200,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403056500,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403056800,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403057100,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403057400,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403057700,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403058000,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403058300,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403058600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403058900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403059200,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403059500,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403059800,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403060100,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403060400,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403060700,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403061000,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.001575,750.0,2.1e-06
1403061300,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403061600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403061900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403062200,2e-06,2e-06,2e-06,2e-06,0.19867314,99336.57472499,2e-06
1403062500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403062800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403063100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403063400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403063700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403064000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403064300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403064600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403064900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403065200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403065500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403065800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403066100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403066400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403066700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403067000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403067300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
